person_number,last_name,first_name,department,organizational_unit,title,badge
50329,Krancich,Carol,Police,Police 2 Sector 3rd Relief -SSM,Police Sergeant w25,479
50360,Krause,Frank,Police,Police Operations Bureau,Police Captain w25,443
209551,Kunkel,Jeremy,Police,Police 2 Sector 2nd Relief -SSM,Police Officer +5%,254
215147,Kusaev,Murat,Police,Police Operations Bureau,Police Officer Recruit,
204202,Lai,QinMei,Police,TPD Crime Analysis Unit,Crime Program Technician,962
9431,Lane,Ryan,Police,Police Investigations Bureau,Police Lieutenant,39
12144,Lang,Jim,Police,Police Traffic Section,Police Officer +10%,111
4140,Larkin,Patricia,Police,Police 3 Sector 2nd Relief -TWT,Police Sergeant w25,244
2300,Larsen,Ryan,Police,Police Violent Crimes Homicide/Assault,Police Detective,53
208358,Lawless,Chad,Police,Police 2 Sector 1st Relief -SSM,Police Officer Spec,25
209603,Leite,Judy,Police,Police 3 Sector 2nd Relief -TWT,Police Officer,208
211590,Levitt,Jared,Police,Police 4 Sector 1st Relief -TWT,Police Officer,334
10842,Lim,Michael,Police,Police 1 Sector 3rd Relief -SSM,Police Sergeant,92
52959,Lock,Gary,Police,Police 1 Sector 2nd Relief -TWT,Police Sergeant w25,366
201336,Lopez-Sanchez,Samuel,Police,Police 4 Sector 1st Relief -SSM,Police Officer,60
203246,Lorberau,Teresa,Police,TPD Crime Analysis Unit,Crime Program Technician,964
211081,Lucas,Aaron,Police,Police 1 Sector 2nd Relief -SSM,Police Officer,338
212552,Ludwig,Matthew,Police,Police 1 Sector 2nd Relief -SSM,Police Officer,239
211675,Lund,Michelle,Police,Police Special Investigations,Police Admin Support Specialist,945
204719,Maahs,Jeffrey,Police,Police Violent Crimes Sex/Child Abuse,Police Detective +5%,229
212981,Machinena,Abbie,Police,Police 1 Sector,Police Officer,124
208901,Madden,Katherine,Police,Police 2 Sector 3rd Relief -SSM,Police Officer,205
204717,Malave,Albert,Police,Police Tech Intel,Police Detective +5%,224
205463,Malott,Shawn,Police,Police 1 Sector 3rd Relief -TWT,Police Sergeant +5%,99
6875,Martin,Christopher,Police,Police 1 Sector 2nd Relief -SSM,Police Sergeant +5%,33
54784,Martin,Kirk,Police,Police Firing Range,Police Sergeant w25,477
201320,Martin,Jacob,Police,Police Violent Crimes Homicide/Assault,Police Detective+10%,56
205930,Martin,Jennifer,Police,Police Investigations Bureau,Police Admin Support Specialist,969
7008,Matheson,Jared,Police,Police Violent Crimes Sex/Child Abuse,Police Detective,54
2272,Maule,Robert,Police,Police 2 Sector,Police Lieutenant w25,353
202502,May,David,Police,Police Firing Range,Police Officer +5%,116
207661,McArthur,Lisa,Police,Police Chief Administration,Police Admin Support Specialist,968
211677,McCrea,Grant,Police,Police Operations Bureau,Police Officer +5%,163
213662,McDermott-Breskin,Logan,Police,Police Operations Bureau,Police Officer,156
205045,McKenzie,Joshua,Police,Police Tech Intel,Police Detective +5%,245
209521,McNeely,Jonathan,Police,Police 4 Sector 2nd Relief-SSM,Police Officer +5%,184
205461,McQuade,Michael,Police,Police 2 Sector 2nd Relief -TWT,Police Officer,38
205816,Meeds,Tyler,Police,Police 4 Sector 1st Relief -TWT,Police Sergeant,278
210061,Meffen,Scott,Police,Police 4 Sector 2nd Relief-SSM,Police Officer +5%,277
2931,Mettler,Joseph,Police,Police Narcotics,Police Officer+5%w25,113
205047,Miller,Steven,Police,Police 4 Sector 2nd Relief-SSM,Police Officer +5%,248
207071,Miller,Walter,Police,Police Traffic Section,Police Officer +5%,293
202504,Mills,Jason,Police,Police 2 Sector 3rd Relief -TWT,Police Sergeant,21
205931,Miner,Keith,Police,Police 3 Sector 2nd Relief -TWT,Police Officer,281
204605,Mires,Brandon,Police,Police Internal Affairs,Police Sergeant,253
214364,Morse,Matthew,Police,Police Traffic Section,Police Officer,309
203907,Moses,John,Police,Police 1 Sector 2nd Relief -SSM,Police Officer,196
3329,Mueller,Jennifer,Police,Police Operations Bureau,Police Lieutenant w25,169
210638,Munn,Christopher,Police,Police Operations Bureau,Police Officer +5%,316
2086,Muse,William,Police,Police Major Crimes/Special Victims,Police Detective w25,266
205358,Myhre,Dustin,Police,Police Major Crimes/Special Victims,Police Sergeant,230
59817,Nasworthy,Jack,Police,Police Traffic Section,Police Detective+10%w25,488
207245,Nasworthy,Marie,Police,Police Internal Affairs,Police Admin Support Specialist,967
213815,Nguyen,Blake,Police,Police 1 Sector 1st Relief -TWT,Police Officer,166
10849,Norling,Imtiaz,Police,Police 3 Sector 1st Relief -SSM,Police Sergeant,94
5699,Novak,Joseph,Police,Police Narcotics,Police Officer,142
202547,O'Donnell,Eric,Police,Police Animal Control,Animal Control & Compl Officer,552
5207,O'Keefe,Stephen,Police,Police Operations Bureau,Police Lieutenant,130
12191,Olson,Jason,Police,Police Major Crimes/Career Crimes,Police Detective +5%,141
209732,O'Neal,Steven,Police,Police 1 Sector 1st Relief -SSM,Police Officer,304
203271,O'Rourke,Keith,Police,Police 1 Sector 2nd Relief -TWT,Police Officer,85
66855,Otis,John,Police,Police 2 Sector,Police Sergeant +5%w25,288
201339,Ovens,Sean,Police,Police 3 Sector 3rd Relief -TWT,Police Officer +5%,51
211197,Overly,Joshua,Police,Police Operations Bureau,Police Officer,343
69063,Paris,Barry,Police,Police Operations Bureau,Police Lieutenant w25,437
212394,Patenaude,Brian,Police,Police 3 Sector 3rd Relief -TWT,Police Officer,87
213728,Patrick,Joshua,Police,Police 3 Sector 2nd Relief -SSM,Police Officer,157
12184,Patterson,Patrick,Police,Police 1 Sector,Police Lieutenant,123
205732,Perry,Thomas,Police,Police Traffic Section,Police Officer +10%,262
214544,Petrie,Thomas,Police,Police 2 Sector 2nd Relief -SSM,Police Officer,103
206334,Peyton,Cory,Police,Police 1 Sector 3rd Relief -TWT,Police Officer,289
70286,Phan,Khanh,Police,Police 2 Sector 3rd Relief -SSM,Police Off Spec w25,497
212390,Pingul,Chaz,Police,Police Operations Bureau,Police Officer,84
212434,Pinkerton,Zoe,Police,Police 3 Sector 1st Relief -SSM,Police Officer,101
211994,Plute,Jason,Police,Police Operations Bureau,Community Relations Spec,983
207249,Puccio,Carl,Police,Police 2 Sector 3rd Relief -SSM,Police Officer,96
2928,Quilio,Jennifer,Police,Police Violent Crimes Sex/Child Abuse,Police Detective w25,107
72835,Quinn,Aaron,Police,Police 3 Sector 1st Relief -TWT,Police Sergeant w25,148
213235,Ramos,Karina,Police,Police Operations Bureau,Police Officer,34
211156,Ramos-Ocampo,Deanna,Police,Police Administrative Services Bureau,Police Officer,342
209019,Rand,Michelle,Police,Police 3 Sector 1st Relief -TWT,Police Officer,63
212401,Rankine,Timothy,Police,Police Operations Bureau,Police Officer,88
202507,Reda,Darrin,Police,Police Violent Crimes Homicide/Assault,Police Detective,62
211676,Reetz,Nathan,Police,Police 1 Sector 1st Relief -SSM,Police Officer Spec,154
210366,Reeves,Taylor,Police,Police 3 Sector 1st Relief -SSM,Police Officer,302
74030,Reopelle,Steven,Police,Police Violent Crimes Homicide/Assault,Police Detective +5%w25,472
215088,Richardson,Kallen,Police,Police 1 Sector 3rd Relief -SSM,Police Officer Recruit,
209569,Riche,Matthew,Police,Police 1 Sector 3rd Relief -SSM,Police Officer,204
208827,Riegsecker,Matthew,Police,Police Major Crimes/Financial,Police Detective,296
213154,Riley,Ann,Police,Police Operations Bureau,Police Admin Support Specialist,948
74896,Roberts,Alan,Police,Police 3 Sector,Police Lieutenant w25,478
74975,Roberts,Gary,Police,Police 1 Sector 1st Relief -SSM,Police Sergeant w25,313
74977,Roberts,Gary T,Police,Police 2 Sector 2nd Relief -SSM,Police Sergeant w25,504
202519,Roberts,Brent,Police,Police 4 Sector 1st Relief -SSM,Police Officer +5%,190
2926,Robillard,Jeffrey,Police,Police 4 Sector 3rd Relief SSM,Police Off Spec +5% w25,108
202052,Robillard,Ashley,Police,Police Major Crimes/Career Crimes,Police Detective +5%,81
201500,Robison,Eric,Police,Police Violent Crimes Sex/Child Abuse,Police Detective,71
200067,Rock,Gregory,Police,Police 3 Sector 3rd Relief -SSM,Police Sergeant +5%,171
203529,Rose,Donald,Police,Police 3 Sector 2nd Relief -SSM,Police Officer Spec,75
75717,Rosenquist,John,Police,Police 2 Sector,Police Sergeant w25,483
75767,Rosmaryn,Steven,Police,Police Major Crimes/Financial,Police Detective w25,461
4297,Rowbottom,Michael,Police,Police Narcotics,Police Officer,385
213330,Salisbury,Mia,Police,Police Animal Control,Animal Control & Compl Officer,555
202537,Satter-Hunt,Joseph,Police,Police Animal Control,Animal Control & Compl Supervisor,551
210788,Schaller,Christopher,Police,Police 4 Sector 2nd Relief -TWT,Police Officer,335
210818,Scheetz,Brandon,Police,Police Narcotics,Police Officer,323
2084,Schieferdecker,Elizabeth,Police,Police Major Crimes/Financial,Police Detective w25,261
209731,Schillen,Eric,Police,Police K-9,Police Officer Spec,303
207662,Schmidt,Lindsay,Police,Police Violent Crimes Sex/Child Abuse,Police Detective,215
210976,Schmitz,Anna,Police,Police Forensics,Latent Print Examiner,927
211862,Schneider,Wesley,Police,Police Narcotics,Police Officer,356
12242,Schultz,Albert,Police,Police Special Investigations,Police Sergeant,151
200460,Scripps,Eric,Police,Police Operations Bureau,Police Lieutenant,223
77740,Scruggs,Fred,Police,Police Investigations Bureau,Police Chief Asst,29
212396,Semeling,Christina,Police,Police Operations Bureau,Police Admin Support Specialist,946
6877,Shafner,Scott,Police,Police Operations Bureau,Police Sergeant,35
203631,Shank,Steven,Police,Police Violent Crimes Homicide/Assault,Police Detective +5%,45
210292,She,Brian,Police,Police K-9,Police Officer,256
78447,Shelton,Jacqueline,Police,TPD Crime Analysis Unit,"Crime Analyst, Senior",963
200476,Shipp,Christopher,Police,Police Violent Crimes Homicide/Assault,Police Detective,183
201337,Showalter,Brandon,Police,Police Major Crimes/Special Victims,Police Detective,64
212577,Sjoting,Alejandro,Police,Police 2 Sector 1st Relief -SSM,Police Officer,274
201817,Skrabak,Angie,Police,Police Chief Administration,Police Admin Support Specialist,941
6878,Smith,Kenny,Police,Police 4 Sector 3rd Relief TWT,Police Officer Spec,36
80009,Smith,James,Police,Police 3 Sector 3rd Relief -SSM,Police Officer w25,501
200180,Smith,Kenneth,Police,Police Special Investigations,Police Sergeant +5%,200
203565,Smith,Jeffrey,Police,Police 2 Sector 2nd Relief -TWT,Police Sergeant,186
200066,Snyder,Timothy,Police,Police 2 Sector 2nd Relief -SSM,Police Officer +5%,193
10843,Song,Young,Police,Police 4 Sector,Police Detective,93
203563,Song,Patricia,Police,Police Violent Crimes Homicide/Assault,Police Detective +5%,237
205046,Spangler,Zachary,Police,Police 4 Sector 3rd Relief SSM,Police Officer,247
81090,Stark,Robert,Police,Police Operations Bureau,Police Lieutenant,486
81238,Stephen,Patrick,Police,Police 1 Sector 3rd Relief -SSM,Police Officer+5%w25,436
81242,Stephens,Ira,Police,Police Operations Bureau,Police Officer+5%w25,460
212902,Stephenson,Arthur,Police,Police 1 Sector,Police Officer,206
200457,Stieben,Helen,Police,Police 1 Sector,Police Officer,146
81619,Still,Daniel,Police,Police Traffic Section,Police Lieutenant w25,327
204132,Storwick,Steven,Police,Police 4 Sector 3rd Relief SSM,Police Sergeant +5%,212
81939,Stringer,Shawn,Police,Police Operations Bureau,Police Captain w25,401
6874,Sugai,Craig,Police,Police 1 Sector 2nd Relief -TWT,Police Officer,32
201504,Syler,Jennifer,Police,Police 3 Sector 3rd Relief -TWT,Police Officer +5%,76
211680,Tables,Justin,Police,Police 4 Sector 3rd Relief TWT,Police Officer,350
209517,Taing,Peter,Police,Police 4 Sector 2nd Relief-SSM,Police Officer,143
83307,Taylor,Charles,Police,Police Administrative Services Bureau,Police Chief Asst,485
212388,Taylor-Hewett,Rebecca,Police,Police Administrative Services Bureau,Police Admin Support Specialist,942
209793,Tegeler,Katie,Police,Police 4 Sector 3rd Relief SSM,Police Officer +5%,320
6903,Terhaar,Jennifer,Police,Police Major Crimes/Special Victims,Police Detective,37
204386,Terwilliger,Bret,Police,Police 4 Sector 3rd Relief TWT,Police Officer,168
202053,Thiry,Jeffrey,Police,Police 1 Sector 2nd Relief -TWT,Police Officer Spec,82
3069,Thornton,Steven,Police,Police Violent Crimes Sex/Child Abuse,Police Detective w25,126
204033,Tiffany,Jared,Police,Police 1 Sector 3rd Relief -SSM,Police Officer,97
214181,Tower,Joshua,Police,Police 2 Sector 2nd Relief -SSM,Police Officer,294
203345,Tracy,Christopher,Police,Police Major Crimes/Financial,Police Detective,139
5471,Travis,Christopher,Police,Police Operations Bureau,Police Captain,104
212930,Trott,Theresa,Police,Police 1 Sector 3rd Relief -SSM,Police Officer,209
85364,Tscheuschner,Michael,Police,Police Narcotics,Police Detective +5%w25,300
90000,Velez,Donovan,Police,Police Forensics,Forensic Services Supervisor,930
209518,Ventura,Corey,Police,Police 3 Sector,Police Officer,114
204126,Verkoelen,Matthew,Police,Police Operations Bureau,Police Sergeant +5%,115
3333,Verone,Jon,Police,Police Training,Police Sergeant w25,179
205044,Waddell,Travis,Police,Police 1 Sector 3rd Relief -TWT,Police Officer,243
91670,Wade,Edward,Police,Police Operations Bureau,Police Chief Asst,396
200197,Wales,Kevin,Police,Police Violent Crimes Homicide/Assault,Police Detective,137
211376,Walk,Garrett,Police,Police Operations Bureau,Police Officer,363
205237,Wallin,Luke,Police,Police 2 Sector 2nd Relief -TWT,Police Officer +5%,255
210215,Wallis,Nicholas,Police,Police Operations Bureau,Police Officer,213
201507,Walsh,Douglas,Police,Police 4 Sector 2nd Relief-SSM,Police Officer,69
212627,Warner,Ryan,Police,Police Operations Bureau,Police Officer +5%,280
92420,Waters,Mark,Police,Police 4 Sector 2nd Relief-SSM,Police Sergeant +5%w25,427
