badge_number,full_name,title,unit,unit_description,first_name,middle_name,last_name
5742,"Barker, Abram D",Police Lieutenant,B625   ,Harbor,Abram,D,Barker
5925,"Barnes, Timothy S",Acting Police Officer Detective,B752T  ,Major Crimes Task Force,Timothy,S,Barnes
7416,"Barnett, Thomas M",Police Officer,B113T  ,West Pct 3Rd W - K/Q Relief,Thomas,M,Barnett
7590,"Barreto, German R.",Police Officer,B252T  ,Southwest Pct 2Nd W - F/W Relief,German,R,Barreto
8642,"Barrett, Ryan J",Police Officer,B243T  ,East Pct 3Rd W - E/G Relief,Ryan,J,Barrett
8227,"Barry, John",Strategic Advisor I,A110C  ,Opa - Investigations - Analyst,John,,Barry
8747,"Barton, Haden M",Police Student Officer,C125F  ,Training - Field Training Squad,Haden,M,Barton
7568,"Barton, Kieran J.",Police Officer,B121L  ,North Pct 1St W - Lincoln,Kieran,J,Barton
7588,"Bass, Andrew J.",Police Officer,A810X  ,Hr - Department Unavailable Person~,Andrew,J,Bass
6656,"Bassett, Jill K",Acting Police Officer Detective,B713B  ,Inv Supp - Rtcc Detail,Jill,K,Bassett
8818,"Bassi Rodriguez, Leonardo",Police Recruit,A810F  ,Hr - Blea - Academy Recruits,Rodriguez,Leonardo,Bassi
8708,"Bateman, Michael P",Police Officer,B253F  ,Southwest Pct 3Rd W - Frank,Michael,P,Bateman
7411,"Batiot, Clovis F.",Parking Enfor Officer,B637G  ,Parking Enforcement - P7 Squad,Clovis,F,Batiot
8340,"Bauer, Nathan J",Police Officer,B122L  ,North Pct 2Nd W - Lincoln,Nathan,J,Bauer
5824,"Bauer, Nicholus J",Police Sergeant,A810X  ,Hr - Department Unavailable Person~,Nicholus,J,Bauer
8294,"Baughn, Shirley",Police Comm Dispatcher I,C313A  ,Comm - Training Detail,Shirley,,Baughn
8251,"Bautista, Krystal S",Community Service Officer,A311J  ,Community Service Office - Squad A,Krystal,S,Bautista
7459,"Beard, Douglas A",Police Officer,B122W  ,North Pct 2Nd W - John Relief,Douglas,A,Beard
7453,"Beatty, Adam D",Police Officer,B121L  ,North Pct 1St W - Lincoln,Adam,D,Beatty
6898,"Beck, Ryan O",Police Officer Detective,A810X  ,Hr - Department Unavailable Person~,Ryan,O,Beck
7716,"Beecroft, Jayme D",Acting Police Officer Detective,B722A  ,Sau Squad A,Jayme,D,Beecroft
7722,"Beecroft, Ryan D.",Police Officer,B112M  ,West Pct 2Nd W - Mary,Ryan,D,Beecroft
6354,"Beemster, Therese Louise",Police Sergeant Detective,A111A  ,Opa - Investigations - Team A,Therese,Louise,Beemster
7717,"Behn, Demethra R",Police Officer,B781I  ,Icac - Internet Crimes Against Chi~,Demethra,R,Behn
7525,"Belfiore, Joseph Iii",Acting Police Sergeant,B113V  ,West Pct 3Rd W - D/M Relief,Joseph,Iii,Belfiore
6972,"Belgarde, Anthony M",Police Officer Detective,B722A  ,Sau Squad A,Anthony,M,Belgarde
8240,"Belle, Davonte","Police Comm, Dispatcher Ii",C314O  ,Comm - 3Rd W (C) - Cb,Davonte,,Belle
8794,"Belloso, Carlos A",Police Student Officer,C125F  ,Training - Field Training Squad,Carlos,A,Belloso
6460,"Belshay, Robert A",Police Officer,B713C  ,Inv Supp - Gang Intelligence Detai~,Robert,A,Belshay
6724,"Bender, Jason S",Police Officer,B111D  ,West Pct 1St W - D/M (Late),Jason,S,Bender
6899,"Bendickson, Matthew Roy",Police Officer,B253T  ,Southwest Pct 3Rd W - F/W Relief,Matthew,Roy,Bendickson
7541,"Bennett, Anthony L",Police Sergeant Detective,C114   ,Apr - Policy And Procedures,Anthony,L,Bennett
6776,"Benshoof, Shawn M",Police Officer,B621B  ,Swat - Day Squad 2,Shawn,M,Benshoof
7940,"Bentley, Bernard E",Parking Enfor Officer,B637L  ,Parking Enforcement - P12 Squad,Bernard,E,Bentley
8828,"Bercume, Joseph S",Police Recruit,A810F  ,Hr - Blea - Academy Recruits,Joseph,S,Bercume
7368,"Berger, Katelyn P.",Manager Ii,A611   ,Legal - Support And Public Disclos~,Katelyn,P,Berger
6146,"Bergmann, Trent W",Police Lieutenant,B621   ,Swat,Trent,W,Bergmann
8249,"Bergstrom, Sarah B",Police Comm Dispatcher I,C314A  ,Comm - 1St W (A) - Ca,Sarah,B,Bergstrom
5467,"Bernal, Gilbert A",Police Officer,C312R  ,Comm - Internet And Telephone Repo~,Gilbert,A,Bernal
8442,"Bertsch, Nathan M",Police Officer,B123T  ,North Pct 3Rd W - L/U Relief,Nathan,M,Bertsch
5108,"Besaw, Robert N",Police Officer,A810X  ,Hr - Department Unavailable Person~,Robert,N,Besaw
7454,"Beseler, Eric S.",Acting Police Sergeant,B122J  ,North Pct 2Nd W - John,Eric,S,Beseler
8124,"Bettesworth, Anne",Executive,A120   ,"Opa - Operations, Compliance, Outr~",Anne,,Bettesworth
8458,"Biddle, Nathan W",Police Officer,B182A  ,Crg - Squad 82A,Nathan,W,Biddle
6312,"Biggs, Kimberly K",Police Officer Detective,B765   ,Forensics - Crime Scene Investigat~,Kimberly,K,Biggs
8360,"Binder, Joseph D",Police Officer,B182A  ,Crg - Squad 82A,Joseph,D,Binder
8103,"Biondo, Barbara A",Crime Prevention Coordinator,A311C  ,Community Outreach - Crime Prevent~,Barbara,A,Biondo
8559,"Bissell, Ashlie T",Police Officer,B122N  ,North Pct 2Nd W - Nora,Ashlie,T,Bissell
7402,"Blackburn, Matthew J",Police Officer,B182D  ,Crg - Squad 82D,Matthew,J,Blackburn
5227,"Blackwell-Cooper, Becky",Admin Specialist Ii,C522C  ,Criminal History - Graveyard Shift,Becky,,Blackwell-Cooper
6980,"Blake, Ryan B",Police Officer,B251T  ,Southwest Pct 1St W - F/W Relief,Ryan,B,Blake
7553,"Blase, Brian D",Police Officer,B241T  ,East Pct 1St W - E/G Relief (Charl~,Brian,D,Blase
7237,"Blassan, Yolanda O",Parking Enfor Officer,B637J  ,Parking Enforcement - P10 Squad,Yolanda,O,Blassan
8634,"Board, Kasey J",Police Officer,B231S  ,South Pct 1St W - Sam,Kasey,J,Board
6424,"Boas, Renee J",Parking Enfor Officer,B637K  ,Parking Enforcement - P11 Squad,Renee,J,Boas
7972,"Boatright, Rebecca D",Executive,A600   ,Legal - Senior Police Counsel,Rebecca,D,Boatright
8554,"Boettcher, David M",Police Officer,B121B  ,North Pct 1St W - Boy (John),David,M,Boettcher
5876,"Boggs, Daina M Z",Police Officer,A810X  ,Hr - Department Unavailable Person~,Daina,M Z,Boggs
5365,"Boggs, Michael W",Police Sergeant Detective,B712R  ,Robbery Squad A,Michael,W,Boggs
5273,"Bogucki, Kim L",Acting Police Officer Detective,A311B  ,Community Outreach - Youth Violenc~,Kim,L,Bogucki
8561,"Bohannon, Jeremy L",Police Officer,B242T  ,East Pct 2Nd W - E/G Relief,Jeremy,L,Bohannon
7169,"Bojang-Jackson, Pepper L",Manager Ii,C520   ,Data Center,Pepper,L,Bojang-Jackson
5256,"Bolton, Donald D",Police Officer,B242P  ,East Pct 2Nd W - Pct Support,Donald,D,Bolton
8810,"Bonds, Bryan A",Police Recruit,A810F  ,Hr - Blea - Academy Recruits,Bryan,A,Bonds
7591,"Bonesteel, Richard G.",Police Officer,B182C  ,Crg - Squad 82C,Richard,G,Bonesteel
6370,"Bonet, Michael E",Police Officer,B621B  ,Swat - Day Squad 2,Michael,E,Bonet
8486,"Boon, Derrick C",Police Officer,B252F  ,Southwest Pct 2Nd W - Frank,Derrick,C,Boon
4149,"Boone, Kathleen J",Parking Enfor Officer,B637C  ,Parking Enforcement - P3 Squad,Kathleen,J,Boone
7597,"Borjeson, Cliff J.",Police Sergeant Detective,A111A  ,Opa - Investigations - Team A,Cliff,J,Borjeson
4861,"Boudy, Marcel Dennise","Police Data Technician, Supvsr",C521A  ,Data Center - Day Shift,Marcel,Dennise,Boudy
4381,"Bouldin, Denise D",Police Officer Detective,A311B  ,Community Outreach - Youth Violenc~,Denise,D,Bouldin
7870,"Boullet, Danielle N.","Police Comm, Dispatcher Ii",C314G  ,Comm - 2Nd W (A) - Ca,Danielle,N,Boullet
7523,"Bourdon, Jorge L",Police Officer,B182E  ,Crg - Squad 82E,Jorge,L,Bourdon
6635,"Boyland, Weldon C",Police Officer,B122U  ,North Pct 2Nd W - Union,Weldon,C,Boyland
8551,"Boys, Nicholas A",Police Officer,B122U  ,North Pct 2Nd W - Union,Nicholas,A,Boys
6524,"Bozanich, Nancy Lyn",Admin Specialist Ii,C512A  ,Public Requests - Day Shift,Nancy,Lyn,Bozanich
5780,"Braboy, Samuel",Police Officer,B632B  ,Traf - Motorcycle - T2 Squad,Samuel,,Braboy
6235,"Bradrick, Matthew Lee Bis",Police Officer,B112A  ,West Pct 2Nd W - David Beats,Matthew,Lee Bis,Bradrick
8819,"Brane, Sienna M",Police Recruit,A810F  ,Hr - Blea - Academy Recruits,Sienna,M,Brane
6321,"Branham, Amy Jean",Police Officer Detective,A810X  ,Hr - Department Unavailable Person~,Amy,Jean,Branham
8032,"Branham, Tina L",Police Comm Dispatcher I,C314R  ,Comm - 3Rd W (F) - Cc,Tina,L,Branham
6992,"Brathwaite, Sydney M",Police Officer Detective,B781A  ,Human Trafficking - Squad A,Sydney,M,Brathwaite
5123,"Bray, George E_Jr",Police Lieutenant,C312   ,Comm - Operations Unit,George,E_Jr,Bray
7999,"Brazil, Carrie C",Strategic Advisor I,A210B  ,Emergency Mgmnt - Education And Ou~,Carrie,C,Brazil
8211,"Breed, Kelley M",Police Comm Dispatcher I,C314E  ,Comm - 1St W (E) - Cc,Kelley,M,Breed
8741,"Brewer Wiitanen, Jayde A",Police Officer Probation,A810   ,Hr - Employment Services Unit,Wiitanen,Jayde A,Brewer
8449,"Brewer, Alexander Z",Police Officer,B112M  ,West Pct 2Nd W - Mary,Alexander,Z,Brewer
7843,"Bridge, Mark C.",Strategic Advisor Iii,C040   ,Data Driven Program,Mark,C,Bridge
6636,"Bright, Bryan G",Police Officer Detective,B752A  ,"Fraud, Forgery And Financial Explo~",Bryan,G,Bright
8562,"Brilla, Joshua F",Police Officer,A810X  ,Hr - Department Unavailable Person~,Joshua,F,Brilla
6936,"Briskey, Azrielle B",Police Officer Detective,B752B  ,Auto Theft,Azrielle,B,Briskey
6824,"Briskey, Jacob W",Acting Police Sergeant,B623A  ,Canine - Squad A,Jacob,W,Briskey
6770,"Britt, James P",Police Lieutenant,B190   ,Special Asgn - Patrol Ops Bureau,James,P,Britt
8820,"Brooks, Hailey C",Police Recruit,A810F  ,Hr - Blea - Academy Recruits,Hailey,C,Brooks
5774,"Brooks, John T",Police Lieutenant,B182   ,Community Response Group - Platoon~,John,T,Brooks
6117,"Brothers, Todd A",Police Officer,C312R  ,Comm - Internet And Telephone Repo~,Todd,A,Brothers
7776,"Brown, Christopher E",Police Officer,A810X  ,Hr - Department Unavailable Person~,Christopher,E,Brown
6214,"Brown, Debbie A",Police Officer Detective,B713T  ,Inv Supp - Technical Assistance Sq~,Debbie,A,Brown
5899,"Brown, Donna D",Admin Specialist Ii,B240Y  ,East Pct - Administration,Donna,D,Brown
8212,"Brown, Kelsey",Police Comm Dispatcher I,C314G  ,Comm - 2Nd W (A) - Ca,Kelsey,,Brown
8123,"Brown, Larry C",Admin Specialist I,C511A  ,Records - Day Shift,Larry,C,Brown
7536,"Brown, Lindsay C.",Police Officer,B232T  ,South Pct 2Nd W - R/S Relief,Lindsay,C,Brown
8086,"Brown, Malina M",Admin Specialist I,A810X  ,Hr - Department Unavailable Person~,Malina,M,Brown
8162,"Brown, Matthew C",Parking Enfor Officer,B637A  ,Parking Enforcement - P1 Squad,Matthew,C,Brown
6194,"Brown, Robert B",Police Lieutenant,B111   ,West Pct 1St W,Robert,B,Brown
6954,"Brownlee, Christopher C",Police Officer,A312J  ,Joint Enforcement Team (Jet),Christopher,C,Brownlee
7344,"Bruce, Ryan",Parking Enfor Officer,B637I  ,Parking Enforcement - P9 Squad,Ryan,,Bruce
5092,"Bruce, Timothy H",Equipment & Facilities Coordinator,A810X  ,Hr - Department Unavailable Person~,Timothy,H,Bruce
6418,"Bruce, Walter R",Police Sergeant,B121V  ,North Pct 1St W - B/N Relief (John~,Walter,R,Bruce
8107,"Bruk, Maxim",Parking Enfor Officer,B637G  ,Parking Enforcement - P7 Squad,Maxim,,Bruk
8325,"Brumbaugh, Rhonda M",Police Officer,A312N  ,Navigation Team - Squad A,Rhonda,M,Brumbaugh
5841,"Brundage, Ronald L_Jr",Police Officer Detective,B781B  ,Human Trafficking - Squad B,Ronald,L_Jr,Brundage
6809,"Bulawa, James F",Police Officer,B632T  ,Traf - Collision Investigation,James,F,Bulawa
7649,"Bullard, Brett M.",Police Officer,B232T  ,South Pct 2Nd W - R/S Relief,Brett,M,Bullard
8727,"Bulloch, Robert S",Police Officer,B111K  ,West Pct 1St W - K/Q (Early),Robert,S,Bulloch
5778,"Bundy, John T",Police Officer,B625A  ,Harbor - Squad A,John,T,Bundy
6371,"Bunge, David J",Police Officer,B190   ,Special Asgn - Patrol Ops Bureau,David,J,Bunge
8536,"Bunn, Brooke M",Police Officer,B122J  ,North Pct 2Nd W - John,Brooke,M,Bunn
7790,"Burditt, Shane",Acting Police Officer Detective,B781I  ,Icac - Internet Crimes Against Chi~,Shane,,Burditt
8657,"Burgess, Nicholas C",Police Officer,B242G  ,East Pct 2Nd W - George,Nicholas,C,Burgess
8420,"Burk, Nicholas A",Police Officer,B242T  ,East Pct 2Nd W - E/G Relief,Nicholas,A,Burk
5516,"Burk, Robert C",Police Officer,A810X  ,Hr - Department Unavailable Person~,Robert,C,Burk
8186,"Burkhart, Tyler",Parking Enfor Officer,B637M  ,Parking Enforcement - P13 Squad,Tyler,,Burkhart
5438,"Burns, Thomas J",Police Officer,A810X  ,Hr - Department Unavailable Person~,Thomas,J,Burns
6896,"Burr, Heather",Police Officer Detective,B721C  ,Dv Squad C - Elder Abuse & Fraud,Heather,,Burr
6894,"Burrows, David",Police Sergeant,B251F  ,Southwest Pct 1St W - Frank,David,,Burrows
8303,"Butenhoff, Dillon J",Police Officer,B182D  ,Crg - Squad 82D,Dillon,J,Butenhoff
8258,"Butler, Aidan",Police Data Technician,C521A  ,Data Center - Day Shift,Aidan,,Butler
8637,"Butler, Cassidy S",Police Officer,B113Q  ,West Pct 3Rd W - Queen,Cassidy,S,Butler
6215,"Buxton, Wesley N",Police Officer,C312R  ,Comm - Internet And Telephone Repo~,Wesley,N,Buxton
6742,"Byrd, Samuel R",Police Sergeant,B111T  ,West Pct 1St W - Kq/Dm Relief,Samuel,R,Byrd
6236,"Cablayan, Ted",Acting Police Officer Detective,B713T  ,Inv Supp - Technical Assistance Sq~,Ted,,Cablayan
6967,"Caille, Brandon W",Police Officer,B232V  ,South Pct 2Nd W - Ocean Relief,Brandon,W,Caille
7718,"Caldwell, Tommy C_Ii",Police Officer,B122B  ,North Pct 2Nd W - Boy,Tommy,C_Ii,Caldwell
8401,"Campbell, Anthony B",Police Officer,B112T  ,West Pct 2Nd W - K/Q Relief,Anthony,B,Campbell
6693,"Campbell, Ronald J",Police Sergeant,C121B  ,Training - Advanced - Squad B,Ronald,J,Campbell
6472,"Campbell, Susan",Admin Specialist Ii,B250Y  ,Southwest Pct - Administration,Susan,,Campbell
6887,"Campbell, William K",Police Officer,B242E  ,East Pct 2Nd W - Edward,William,K,Campbell
4998,"Campos, Ronald G","Mgmt Systems Analyst, Sr",C010B  ,Budget And Finance Analysts,Ronald,G,Campos
8412,"Canny, Kevin G",Police Officer,B253W  ,Southwest Pct 3Rd W - William,Kevin,G,Canny
7899,"Caputo, Lauren A",Strategic Advisor I,A120A  ,"Opa - Compliance, Policy And Resea~",Lauren,A,Caputo
7937,"Cardenas, Yared N",Identification Technician,B763H  ,Tenprint - Swing Shift,Yared,N,Cardenas
7723,"Carey, Devlin A.",Police Officer,B251W  ,Southwest Pct 1St W - William,Devlin,A,Carey
7460,"Carlisle, Nathan W",Police Officer,B241G  ,East Pct 1St W - George (Charlie),Nathan,W,Carlisle
8209,"Carmen, Christopher",Admin Specialist Ii,A200B  ,Emergency Management - Staff Assis~,Christopher,,Carmen
6944,"Caron, Christopher A",Police Officer,B232S  ,South Pct 2Nd W - Sam,Christopher,A,Caron
6108,"Carpenter, Colin D",Police Lieutenant,C171   ,Force Investigations Unit,Colin,D,Carpenter
7880,"Carr, Jennifer Ann",Admin Staff Assistant,B752A  ,"Fraud, Forgery And Financial Explo~",Jennifer,Ann,Carr
T144,"Carroll,Patrice A",Strategic Advisor I,A210A  ,Emergency Management - Coordinator~,A,,"Carroll,Patrice"
8651,"Carson, Valerie D",Police Officer,A311O  ,Public Affairs,Valerie,D,Carson
8394,"Carter, Benjamin S",Police Officer,B181D  ,Crg - Squad 81D,Benjamin,S,Carter
7357,"Carter, Bryan J",Parking Enfor Officer,B637K  ,Parking Enforcement - P11 Squad,Bryan,J,Carter
